,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,label
0,2022-03-13 15:45:25.742,1.9675812,1.0671747,0.89583063,1.8527588,1.4417801,1.2780701,0.74668527,1.3473665,1.1689749,1.0493062,0.85937345,0.87821084,0.69455266,0.8623379,0.76627153,0.74833363,0.046838764,0.34245408,0.13761012,0.16793233,870.32965,797.8022,805.4579,871.53845,880.0,0.1708984375,-0.02001953125,0.9879150390625,2.474822998046875,-0.28411865234375,-3.745880126953125,1.0,2.0,1.0,1.0,2.0,75.0,,Positive
1,2022-03-13 15:45:26.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
2,2022-03-13 15:45:26.754,1.9675812,1.0671747,0.89583063,1.8527588,1.4417801,1.2780701,0.74668527,1.3473665,1.1689749,1.0493062,0.85937345,0.87821084,0.69455266,0.8623379,0.76627153,0.74833363,0.046838764,0.34245408,0.13761012,0.16793233,902.1612,850.18317,846.1539,885.2381,832.8571,0.06817626953125,-0.0111083984375,1.01177978515625,2.684173583984375,0.186920166015625,-5.330963134765625,1.0,2.0,1.0,1.0,2.0,75.0,,Positive
3,2022-03-13 15:45:26.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
4,2022-03-13 15:45:27.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
5,2022-03-13 15:45:27.757,1.9675812,1.0671747,0.89583063,1.8527588,1.4417801,1.2780701,0.74668527,1.3473665,1.1689749,1.0493062,0.85937345,0.87821084,0.69455266,0.8623379,0.76627153,0.74833363,0.046838764,0.34245408,0.13761012,0.16793233,813.5165,858.6447,862.27106,818.7546,684.57874,0.0311279296875,-0.0242919921875,1.00714111328125,4.605712890625,-4.373931884765625,-0.67291259765625,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
6,2022-03-13 15:45:28.761,1.9675812,1.0671747,0.89583063,1.8527588,1.4417801,1.2780701,0.74668527,1.3473665,1.1689749,1.0493062,0.85937345,0.87821084,0.69455266,0.8623379,0.76627153,0.74833363,0.046838764,0.34245408,0.13761012,0.16793233,675.31134,703.91943,684.9817,672.0879,762.3443,0.01531982421875,-0.02252197265625,1.001708984375,3.252410888671875,-4.254302978515625,-1.92901611328125,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
7,2022-03-13 15:45:28.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
8,2022-03-13 15:45:29.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
9,2022-03-13 15:45:29.764,1.9675812,1.0671747,0.89583063,1.8527588,1.4417801,1.2780701,0.74668527,1.3473665,1.1689749,1.0493062,0.85937345,0.87821084,0.69455266,0.8623379,0.76627153,0.74833363,0.046838764,0.34245408,0.13761012,0.16793233,904.17584,849.7802,842.9304,890.4762,868.315,0.022705078125,-0.01708984375,1.001953125,2.983245849609375,-4.418792724609375,-2.953338623046875,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
10,2022-03-13 15:45:30.779,1.9675812,1.0671747,0.89583063,1.8527588,1.4417801,1.2780701,0.74668527,1.3473665,1.1689749,1.0493062,0.85937345,0.87821084,0.69455266,0.8623379,0.76627153,0.74833363,0.046838764,0.34245408,0.13761012,0.16793233,892.0879,848.97437,859.45056,904.17584,830.4396,0.0423583984375,-0.0205078125,1.00030517578125,4.553375244140625,-4.35150146484375,-1.816864013671875,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
11,2022-03-13 15:45:30.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
12,2022-03-13 15:45:31.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
13,2022-03-13 15:45:31.791,1.9675812,1.0979264,1.2549871,1.8527588,1.4417801,1.2895027,1.2066238,1.3473665,1.1689749,0.5074639,0.811932,0.87821084,0.69455266,0.6470351,0.5410556,0.74833363,0.046838764,-0.16829495,-0.35582224,0.16793233,900.9524,832.0513,825.6044,891.685,870.32965,0.0340576171875,-0.013916015625,1.00848388671875,3.0804443359375,-4.11224365234375,-2.415008544921875,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
14,2022-03-13 15:45:32.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
15,2022-03-13 15:45:32.812,1.9675812,1.3063204,1.2687645,1.8527588,1.4417801,1.1397314,1.2704861,1.3473665,1.1689749,0.6353761,0.8477474,0.87821084,0.69455266,0.32645613,0.37297386,0.74833363,0.046838764,-0.1309045,-0.1453575,0.16793233,797.3993,780.07324,777.6557,808.68134,884.83514,0.03997802734375,-0.02783203125,1.0067138671875,3.0206298828125,-4.44122314453125,-2.51220703125,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
16,2022-03-13 15:45:33.832,1.4131579,1.3494202,1.146789,1.4547161,0.72103006,0.9290438,1.1460989,0.73218495,0.9212529,0.7361213,0.7350452,1.0116414,0.2834821,0.2518239,0.32837972,0.41787407,-0.11489361,0.038691852,-0.06322283,0.04716328,826.0073,796.5934,800.2198,813.5165,772.8205,0.052734375,-0.02349853515625,1.00543212890625,3.12530517578125,-3.267364501953125,-2.55706787109375,1.0,1.0,1.0,1.0,1.0,70.0,,Positive
17,2022-03-13 15:45:34.836,1.413512,1.6586207,1.4157783,1.5192366,0.5464545,0.7895364,0.75483304,0.4713901,0.83961797,0.54638064,0.73555404,0.8884802,0.31582642,0.22799768,0.21575037,0.48268437,0.078876056,-0.07023534,-0.051093753,-0.0990197,864.68866,832.4542,831.6484,857.4359,832.8571,0.0533447265625,-0.0208740234375,1.00701904296875,3.372039794921875,-2.953338623046875,-2.729034423828125,1.0,1.0,1.0,1.0,1.0,70.0,,Positive
18,2022-03-13 15:45:35.840,1.5152988,1.6586207,1.4157783,1.5999281,0.7665631,0.7895364,0.75483304,0.58335745,0.67875195,0.54638064,0.73555404,0.76643467,0.32047048,0.22799768,0.21575037,0.5384651,0.109421454,-0.07023534,-0.051093753,-0.14705575,882.01465,828.8278,810.293,873.1502,848.97437,0.04534912109375,-0.02197265625,1.00213623046875,4.044952392578125,-3.177642822265625,-2.49725341796875,1.0,1.0,1.0,1.0,1.0,70.0,,Positive
19,2022-03-13 15:45:36.851,1.5152988,1.6586207,1.4157783,1.5999281,0.7665631,0.7895364,0.75483304,0.58335745,0.67875195,0.54638064,0.73555404,0.76643467,0.32047048,0.22799768,0.21575037,0.5384651,0.109421454,-0.07023534,-0.051093753,-0.14705575,803.44324,774.83514,782.49084,809.4872,861.4652,0.04681396484375,-0.02691650390625,1.003173828125,3.222503662109375,-2.983245849609375,-2.938385009765625,1.0,1.0,1.0,1.0,1.0,70.0,,Positive
20,2022-03-13 15:45:37.876,1.8233508,1.6586207,1.4157783,1.764255,1.1669956,0.7895364,0.75483304,1.2039152,0.83095706,0.54638064,0.73555404,0.9510215,0.519148,0.22799768,0.21575037,0.65459716,-0.16853411,-0.07023534,-0.051093753,0.06645715,814.3223,836.08057,828.4249,805.8608,798.60803,0.03692626953125,-0.02197265625,1.002685546875,3.57391357421875,-2.938385009765625,-2.40753173828125,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
21,2022-03-13 15:45:38.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
