RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,label
903.36993,787.326,811.0989,846.9597,Neutral
664.0293,793.36993,804.2491,740.989,Neutral
948.49817,796.5934,799.41394,839.707,Neutral
850.18317,801.02563,805.05493,830.84247,Neutral
946.8865,797.3993,809.89014,854.21246,Neutral
720.84247,809.4872,798.60803,788.1319,Neutral
685.78754,792.1612,804.2491,743.8095,Neutral
900.54944,807.0696,784.90845,842.52747,Neutral
727.6923,799.011,807.0696,762.74725,Neutral
906.5934,802.23444,808.2784,835.6777,Neutral
896.9231,796.5934,801.4286,836.8865,Neutral
688.20514,781.685,805.8608,748.24176,Neutral
808.2784,798.60803,815.12823,806.26373,Neutral
870.7326,792.96704,805.05493,846.1539,Neutral
761.9414,783.69965,805.8608,770.0,Neutral
904.9817,790.14655,808.68134,836.08057,Neutral
836.4835,792.96704,814.3223,811.50183,Neutral
936.4103,791.3553,805.8608,852.6007,Neutral
778.46155,793.36993,807.47253,794.9817,Neutral
844.1392,799.011,802.6374,817.5458,Neutral
745.0183,800.6227,804.2491,767.98535,Neutral
716.4103,794.57874,813.91943,765.16486,Neutral
828.4249,789.7436,803.44324,808.68134,Neutral
722.4542,788.93774,809.0842,783.69965,Neutral
830.84247,803.0403,806.26373,817.1429,Neutral
764.35895,817.1429,813.5165,757.9121,Neutral
751.4652,794.17584,798.20514,765.16486,Neutral
871.13556,806.26373,803.8461,826.0073,Neutral
925.9341,793.36993,805.8608,853.4066,Neutral
722.8571,798.20514,807.8755,765.56775,Neutral
877.98535,797.8022,817.9487,849.7802,Neutral
725.2747,793.7729,831.2454,753.0769,Neutral
730.9158,807.0696,796.99634,774.43225,Neutral
701.9048,790.9524,812.71063,770.80585,Neutral
707.9487,809.0842,812.71063,735.34796,Neutral
853.00366,837.6923,823.5897,848.1685,Neutral
1053.2601,786.9231,855.42126,961.79486,Neutral
711.5751,806.6667,813.91943,764.35895,Neutral
929.5604,785.31134,820.3663,883.22345,Neutral
749.85345,799.81683,810.293,776.04395,Neutral
692.23444,785.31134,810.293,751.4652,Neutral
980.7326,806.26373,800.6227,890.87915,Neutral
730.10986,769.59705,809.89014,761.13556,Neutral
879.19415,793.36993,799.011,852.6007,Neutral
710.3663,799.41394,806.6667,772.8205,Neutral
818.7546,792.1612,803.0403,836.08057,Neutral
713.9927,810.696,812.71063,770.80585,Neutral
921.9048,804.65204,815.12823,849.7802,Neutral
792.1612,792.5641,811.50183,810.696,Neutral
818.7546,817.1429,803.0403,801.8315,Neutral
720.84247,805.05493,804.65204,770.80585,Neutral
722.8571,795.78754,797.8022,760.7326,Neutral
828.022,811.50183,793.7729,801.8315,Neutral
762.3443,811.50183,802.23444,784.90845,Neutral
889.2674,800.6227,800.6227,823.1868,Neutral
871.13556,906.5934,840.5128,829.6337,Neutral
746.2271,840.5128,838.9011,790.54944,Neutral
822.381,844.5421,803.8461,828.4249,Neutral
726.08057,791.3553,820.7692,778.46155,Neutral
915.05493,786.1172,813.1135,855.0183,Neutral
761.13556,782.49084,797.3993,798.20514,Neutral
838.49817,786.52014,813.91943,816.337,Neutral
717.619,796.99634,803.8461,773.6264,Neutral
742.1978,774.43225,802.23444,773.22345,Neutral
813.5165,788.5348,807.0696,828.8278,Neutral
814.7253,786.52014,795.78754,812.3077,Neutral
1012.5641,813.1135,778.46155,934.7985,Neutral
699.0842,784.90845,786.52014,736.55676,Neutral
811.9048,810.293,817.9487,792.5641,Neutral
722.4542,807.47253,800.6227,763.1502,Neutral
771.2088,794.57874,793.7729,818.3516,Neutral
836.8865,777.25275,839.304,805.4579,Neutral
707.5458,800.6227,817.9487,707.9487,Neutral
857.8388,778.46155,814.3223,882.01465,Neutral
752.27106,783.69965,803.8461,802.23444,Neutral
765.9707,799.81683,807.0696,729.707,Neutral
740.58606,781.28204,809.0842,794.57874,Neutral
889.67035,817.5458,385.6044,743.8095,Neutral
714.7985,823.1868,12.087913,819.15753,Neutral
1002.49084,821.1722,664.43225,849.3773,Neutral
826.0073,826.4103,525.42126,783.2967,Neutral
802.23444,832.0513,195.42125,766.77655,Neutral
950.5128,819.9634,639.0476,789.7436,Neutral
750.2564,866.7033,271.5751,632.1978,Neutral
745.42126,805.4579,45.934067,807.8755,Neutral
649.5238,809.4872,0.0,816.7399,Neutral
898.93774,824.3956,772.01465,825.6044,Neutral
709.9634,811.0989,0.0,784.5055,Neutral
711.1722,819.9634,0.0,778.0586,Neutral
841.31866,794.9817,786.1172,766.3736,Neutral
531.06226,810.696,347.32602,646.7033,Neutral
666.04395,808.2784,0.0,815.12823,Neutral
691.02563,809.0842,87.4359,743.00366,Neutral
907.8022,817.9487,825.2015,852.1978,Neutral
695.4579,810.293,0.0,794.57874,Neutral
709.9634,807.47253,128.93773,805.8608,Neutral
753.0769,805.4579,544.35895,802.6374,Neutral
671.685,774.0293,39.48718,791.3553,Neutral
894.5055,779.67035,691.02563,772.8205,Neutral
894.90845,782.0879,693.0403,835.2747,Neutral
838.49817,754.68866,479.48718,785.7143,Neutral
