,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,label
0,2022-03-13 15:50:32.924,1.365214,1.3634537,0.86369735,1.4951903,0.6538935,0.9864197,0.5929442,0.7414691,0.89012057,1.000781,0.6222067,0.75574595,0.44042128,0.32509238,0.14243913,0.7864532,0.12516725,-0.089861676,-0.2093664,0.24825549,852.1978,802.23444,804.2491,847.3626,883.6264,0.22222900390625,-0.06793212890625,0.9764404296875,5.06927490234375,-0.396270751953125,-2.310333251953125,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
1,2022-03-13 15:50:33.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
2,2022-03-13 15:50:33.929,1.365214,1.000071,0.91838306,1.4951903,0.6538935,0.70319587,0.6927825,0.7414691,0.89012057,0.5582077,0.20103718,0.75574595,0.44042128,0.42067862,0.040644385,0.7864532,0.12516725,-0.03639816,-0.07961678,0.24825549,837.28937,796.5934,822.381,843.3333,903.7729,0.02178955078125,-0.014892578125,1.00408935546875,1.323394775390625,-3.0804443359375,2.758941650390625,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
3,2022-03-13 15:50:34.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
4,2022-03-13 15:50:34.936,1.365214,1.1100712,0.96168554,1.4951903,0.6538935,0.7956737,0.7284692,0.7414691,0.89012057,0.5140076,0.37067732,0.75574595,0.44042128,0.46153626,0.17986256,0.7864532,0.12516725,0.06293136,-0.14155738,0.24825549,834.0659,823.1868,826.0073,846.9597,737.3626,0.06793212890625,-0.04620361328125,0.99993896484375,6.878662109375,-5.450592041015625,0.79254150390625,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
5,2022-03-13 15:50:35.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
6,2022-03-13 15:50:35.951,1.365214,0.9890255,0.7175814,1.4951903,0.6538935,0.61053026,0.42906508,0.7414691,0.89012057,0.62239635,0.6499469,0.75574595,0.44042128,0.45947433,0.32148907,0.7864532,0.12516725,0.20161322,-0.31578055,0.24825549,808.68134,811.0989,810.293,825.6044,890.87915,0.0775146484375,-0.0390625,0.999267578125,3.60382080078125,-3.177642822265625,-1.92901611328125,1.0,2.0,1.0,1.0,2.0,70.0,,Positive
7,2022-03-13 15:50:36.962,1.1754696,0.9310352,0.44442868,0.91617,0.93038046,0.6450969,0.21730605,1.0040705,0.81634915,0.75064385,0.7026174,0.84499776,0.6403495,0.32048935,0.20470653,0.4522394,-0.045859516,0.08607894,-0.06419132,-0.10870696,806.26373,806.6667,809.0842,799.41394,855.0183,0.073486328125,-0.0328369140625,1.0009765625,3.4991455078125,-4.246826171875,-2.041168212890625,1.0,1.0,1.0,1.0,1.0,70.0,,Positive
8,2022-03-13 15:50:37.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
9,2022-03-13 15:50:37.968,0.79953253,0.9742027,0.80479723,0.7151859,0.15457432,0.7786251,0.36841208,0.48694524,0.44001105,1.108499,0.7162903,0.81681824,0.33460477,0.4353234,0.2701418,0.3585165,-0.25798595,0.07599655,-0.028530037,-0.1827324,817.1429,803.0403,804.65204,807.47253,711.978,0.0732421875,-0.03936767578125,1.00823974609375,3.51409912109375,-4.164581298828125,-1.973876953125,1.0,1.0,1.0,1.0,1.0,75.0,,Positive
