,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,label
0,2022-03-12 21:56:49.291,1.1387585,0.49445492,0.25734654,1.1217836,1.0972328,0.22182381,-0.10036047,1.0572851,1.8269998,0.627861,0.2256842,1.561588,0.694538,0.13657022,0.05689264,0.49283546,0.27086273,-0.37521496,-0.28279108,0.09443079,840.5128,804.65204,810.293,835.6777,774.83514,-0.9647216796875,-0.0582275390625,0.22796630859375,3.312225341796875,-3.409423828125,-2.28790283203125,1,1.0,1.0,1.0,1.0,80.0,,Neutral
1,2022-03-12 21:56:50.304,1.140354,0.32502496,0.40709662,1.0929579,0.9472807,0.06344666,0.08928786,0.82560575,1.7913132,0.5668784,0.33821014,1.5855083,0.6375997,-0.05418362,-0.05132464,0.5082001,0.27647904,-0.22790009,-0.22671501,0.1813596,815.12823,795.38464,817.1429,824.3956,797.8022,-0.96734619140625,-0.05328369140625,0.22467041015625,3.21502685546875,-3.147735595703125,-2.699127197265625,1,1.0,1.0,1.0,1.0,80.0,,Neutral
2,2022-03-12 21:56:51.334,1.0388763,0.3218831,0.13142307,0.98800576,0.72930604,-0.068853185,0.07910057,0.65766096,1.5653154,0.48513967,0.0429042,1.2752366,0.7543613,0.05553091,-0.093100436,0.5298571,0.3304563,-0.10774184,-0.31719157,0.1905281,827.2161,802.6374,812.3077,843.3333,819.9634,-0.97021484375,-0.05926513671875,0.2265625,3.431854248046875,-3.102874755859375,-2.73651123046875,1,1.0,1.0,1.0,1.0,80.0,,Neutral
3,2022-03-12 21:56:52.360,0.9079186,0.18371832,0.18359442,1.0419909,0.8099785,0.2630418,-0.23911096,0.72113085,1.8307754,0.4834834,0.10805563,1.700256,0.8175735,0.06746492,-0.21593332,0.43906504,0.21604031,-0.13786511,-0.27505407,0.100573465,840.9158,792.1612,828.022,836.4835,828.4249,-0.96954345703125,-0.05767822265625,0.2232666015625,3.416900634765625,-2.968292236328125,-2.1533203125,1,1.0,1.0,1.0,1.0,80.0,,Neutral
4,2022-03-12 21:56:53.372,1.0548418,0.29153472,0.24369921,1.1884668,0.73560244,0.22254865,-0.23798147,0.6576476,1.8436491,0.42970458,0.29253525,1.7136817,0.7940927,0.036642153,-0.16171248,0.4684678,0.16595978,-0.13420337,-0.21044946,0.2071905,827.2161,805.8608,819.15753,841.7216,803.44324,-0.96844482421875,-0.062255859375,0.22271728515625,3.072967529296875,-2.594451904296875,-2.848663330078125,1,1.0,1.0,1.0,1.0,80.0,,Neutral
5,2022-03-12 21:56:54.379,1.1617548,0.23836413,0.14946756,1.2230269,0.7264664,-0.011478829,-0.28571633,0.64695483,1.5937285,0.38569075,0.26389524,1.4570997,0.7555602,-0.040590953,-0.074470446,0.4422054,0.27349317,-0.27427474,-0.43922493,0.14901355,822.381,796.99634,818.3516,837.6923,933.9927,-0.96844482421875,-0.06292724609375,0.22088623046875,3.3197021484375,-3.12530517578125,-2.459869384765625,1,1.0,1.0,1.0,1.0,80.0,,Neutral
6,2022-03-12 21:56:55.392,0.95173806,0.2831308,0.29957816,1.0223578,0.44521913,0.018528553,-0.2202154,0.36458007,1.7240347,0.51492494,0.025490645,1.4537084,0.7871735,0.20903407,-0.15815571,0.60215557,0.26968947,-0.15331638,-0.37387672,0.1559931,838.0952,796.99634,808.2784,835.2747,867.1062,-0.9698486328125,-0.056640625,0.22015380859375,3.39447021484375,-3.043060302734375,-2.579498291015625,1,1.0,1.0,1.0,1.0,80.0,,Neutral
7,2022-03-12 21:56:56.407,0.7035533,0.46737605,0.12534654,0.7109832,0.5151286,-0.08467762,-0.17667243,0.37303445,1.8436188,0.6443593,0.3678314,1.6621977,0.78241616,0.26669824,-0.14510739,0.5994479,0.10494916,-0.12735322,-0.28395516,-0.07792736,825.2015,800.2198,816.7399,818.3516,785.7143,-0.9705810546875,-0.05841064453125,0.2215576171875,3.5589599609375,-3.536529541015625,-2.400054931640625,1,1.0,1.0,1.0,1.0,80.0,,Neutral
8,2022-03-12 21:56:57.424,1.1176821,0.4300914,-0.07286128,1.0441973,0.51746094,0.027848745,-0.08553453,0.24102905,1.6294504,0.6168652,0.46491557,1.6110781,0.76593,0.20597821,-0.06649283,0.48068374,0.10958865,-0.15015046,-0.32686934,0.12035929,829.2308,794.9817,810.293,815.5311,804.2491,-0.9700927734375,-0.06451416015625,0.220703125,3.84307861328125,-3.372039794921875,-2.041168212890625,1,1.0,1.0,1.0,1.0,80.0,,Neutral
9,2022-03-12 21:56:58.438,1.2060992,0.32247716,-0.19511907,1.0935899,0.38706234,0.004685735,-0.21895099,0.30501944,1.1993638,0.4924459,0.39241427,1.5300896,0.6872736,0.09127072,-0.04655862,0.4859457,0.20743608,-0.25892502,-0.3668575,0.052177593,826.4103,801.4286,808.68134,832.4542,857.8388,-0.96978759765625,-0.06256103515625,0.22296142578125,3.349609375,-3.372039794921875,-2.6318359375,1,1.0,1.0,1.0,1.0,80.0,,Neutral
